GAL,uniprot,gene,Megakaryocyte,Dendritic cell,NK cell,Monocyte,NK T cell,T cell CD4,T cell CD8,B cell
 ,,LINC01134,0,0,0,0,0,0,0,0
AJAP1,Q9UKB5,AJAP1,0,0,0,0,0,0,0,0
 ,,RP11.154H17.1,0,0,0,0,0,0,0,0
NPHP4,O75161,NPHP4,0,0,0,0,0,0,0,0
KCNAB2,Q13303,KCNAB2,0,99999,0,0,0,0,0,0
CHD5,O00258,CHD5,0,0,0,0,0,0,0,0
RPL22,P35268,RPL22,99999,99999,99999,99999,99999,99999,99999,99999
 ,,RP1.120G22.11,0,0,0,0,0,0,0,0
RNF207,Q6ZRF8,RNF207,0,0,0,0,0,0,0,0
ICMT,O60725,ICMT,0,0,0,0,0,0,0,0
LINC00337,,LINC00337,0,0,0,0,0,0,0,0
 ,Q6NV75,GPR153,0,0,0,0,0,0,0,0
ACOT7,O00154,ACOT7,0,0,0,0,0,0,0,0
 ,,RP1.202O8.3,0,0,0,0,0,0,0,0
HES2,Q9Y543,HES2,0,0,0,0,0,0,0,0
 ,B1AK53,ESPN,0,0,0,0,0,0,0,0
TNFRSF25,Q93038,TNFRSF25,0,0,0,0,0,0,0,0
PLEKHG5,O94827,PLEKHG5,0,0,0,0,0,0,0,0
 ,Q5SY16,NOL9,0,0,0,0,0,0,0,0
ZBTB48,P10074,ZBTB48,0,0,0,0,0,0,0,0
 ,Q9UJP4,KLHL21,0,0,0,0,0,0,0,0
 ,Q86YI8,PHF13,0,0,0,0,0,0,0,0
THAP3,Q8WTV1,THAP3,0,0,0,0,0,0,0,0
DNAJC11,Q9NVH1,DNAJC11,0,0,0,0,0,0,0,0
 ,,RP11.312B8.1,0,0,0,0,0,0,0,0
CAMTA1,Q9Y6Y1,CAMTA1,0,99999,0,0,0,0,0,0
VAMP3,Q15836,VAMP3,0,99999,0,0,0,0,0,0
PER3,P56645,PER3,0,0,0,0,0,0,0,0
 ,,RP3.467L1.4,0,0,0,0,0,0,0,0
UTS2,O95399,UTS2,0,0,0,0,0,0,0,0
TNFRSF9,Q07011,TNFRSF9,0,0,0,0,0,0,0,0
PARK7,Q99497,PARK7,99999,99999,99999,0,0,0,0,0
ERRFI1,Q9UJM3,ERRFI1,0,0,0,0,0,0,0,0
 ,,RP11.431K24.1,0,0,0,0,0,0,0,0
SLC45A1,Q9Y2W3,SLC45A1,0,0,0,0,0,0,0,0
 ,Q9P2R6,RERE,0,0,0,0,0,0,0,0
 ,,RP5.1115A15.1,0,0,0,0,0,0,0,0
 ,,RP4.633I8.4,0,0,0,0,0,0,0,0
 ,P06733,ENO1,99999,99999,99999,99999,99999,99999,99999,0
 ,,ENO1.AS1,0,0,0,0,0,0,0,0
CA6,P23280,CA6,0,0,0,0,0,0,0,0
SLC2A7,Q6PXP3,SLC2A7,0,0,0,0,0,0,0,0
SLC2A5,P22732,SLC2A5,0,0,0,0,0,0,0,0
GPR157,Q5UAW9,GPR157,0,0,0,0,0,0,0,0
 ,,RP3.510D11.2,0,0,0,0,0,0,0,0
H6PD,O95479,H6PD,0,0,0,0,0,0,0,0
SPSB1,Q96BD6,SPSB1,0,0,0,0,0,0,0,0
SLC25A33,Q9BSK2,SLC25A33,0,0,0,0,0,0,0,0
 ,Q5SNT2,TMEM201,0,0,0,0,0,0,0,0
 ,O00329,PIK3CD,0,0,0,0,0,0,0,0
 ,,PIK3CD.AS1,0,0,0,0,0,0,0,0
 ,,PIK3CD.AS2,0,0,0,0,0,0,0,0
CLSTN1,O94985,CLSTN1,0,0,0,0,0,0,0,0
CTNNBIP1,Q9NSA3,CTNNBIP1,0,0,0,0,0,0,0,0
LZIC,Q8WZA0,LZIC,0,0,0,0,0,0,0,0
NMNAT1,Q9HAN9,NMNAT1,0,0,0,0,0,0,0,0
 ,Q96R05,RBP7,0,0,0,0,0,0,0,0
 ,O95155,UBE4B,0,0,0,0,0,0,0,0
KIF1B,O60333,KIF1B,0,0,0,0,0,0,0,0
PGD,P52209,PGD,99999,99999,0,99999,0,0,0,0
 ,,APITD1.CORT,0,0,0,0,0,0,0,0
APITD1,,APITD1,0,0,0,0,0,0,0,0
DFFA,O00273,DFFA,0,0,0,0,0,0,0,0
PEX14,O75381,PEX14,0,0,0,0,0,0,0,0
CASZ1,Q86V15,CASZ1,0,0,0,0,0,0,0,0
 ,,RP4.734G22.3,0,0,0,0,0,0,0,0
C1orf127,Q8N9H9,C1orf127,0,0,0,0,0,0,0,0
TARDBP,Q13148,TARDBP,0,0,0,0,0,0,0,0
 ,,RP4.635E18.9,0,0,0,0,0,0,0,0
MASP2,O00187,MASP2,0,0,0,0,0,0,0,0
 ,,RP4.635E18.8,0,0,0,0,0,0,0,0
SRM,P19623,SRM,0,0,0,0,0,0,0,0
EXOSC10,Q01780,EXOSC10,0,0,0,0,0,0,0,0
 ,,RP4.635E18.7,0,0,0,0,0,0,0,0
 ,,RP4.635E18.6,0,0,0,0,0,0,0,0
 ,P42345,MTOR,0,0,0,0,0,0,0,0
UBIAD1,Q9Y5Z9,UBIAD1,0,0,0,0,0,0,0,0
 ,,PTCHD2,0,0,0,0,0,0,0,0
FBXO2,Q9UK22,FBXO2,0,0,0,0,0,0,0,0
 ,Q9H4M3,FBXO44,0,0,0,0,0,0,0,0
FBXO6,Q9NRD1,FBXO6,0,0,0,0,0,0,0,0
MAD2L2,Q9UI95,MAD2L2,0,0,0,0,0,0,0,0
 ,Q8NBI3,DRAXIN,0,0,0,0,0,0,0,0
AGTRAP,Q6RW13,AGTRAP,0,99999,0,99999,0,0,0,0
 ,Q5SNV9,C1orf167,0,0,0,0,0,0,0,0
 ,P42898,MTHFR,0,0,0,0,0,0,0,0
CLCN6,P51797,CLCN6,0,0,0,0,0,0,0,0
 ,,NPPA.AS1,0,0,0,0,0,0,0,0
NPPA,P01160,NPPA,0,0,0,0,0,0,0,0
KIAA2013,Q8IYS2,KIAA2013,0,0,0,0,0,0,0,0
PLOD1,Q02809,PLOD1,0,0,0,0,0,0,0,0
MFN2,O95140,MFN2,0,0,0,0,0,0,0,0
 ,Q5JXC2,MIIP,0,0,0,0,0,0,0,0
 ,P28908,TNFRSF8,0,0,0,0,0,0,0,0
TNFRSF1B,P20333,TNFRSF1B,0,99999,0,99999,0,0,0,0
 ,Q5THJ4,VPS13D,0,0,0,0,0,0,0,0
 ,,RP5.888M10.2,0,0,0,0,0,0,0,0
